,type,game_id,home_team,away_team_x,week,season_x,state_of_game,game_url,home_score,away_score,date,season_y,neutral,playoff,away_team_y,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
56,post,2012010800,DEN,PIT,18,2011,POST,http://www.nfl.com/liveupdate/game-center/2012010800/2012010800_gtd.json,29.0,23.0,2012-01-08,2011,0,w,PIT,1424.572,1655.282,0.2781004867448488,0.7218995132551511,1454.956,1624.899,29,23
57,post,2012011401,SF,NO,18,2011,POST,http://www.nfl.com/liveupdate/game-center/2012011401/2012011401_gtd.json,36.0,32.0,2012-01-14,2011,0,d,NO,1631.868,1706.252,0.4864986213710845,0.5135013786289154,1648.468,1689.652,36,32
58,post,2012011400,NE,DEN,18,2011,POST,http://www.nfl.com/liveupdate/game-center/2012011400/2012011400_gtd.json,45.0,10.0,2012-01-14,2011,0,d,DEN,1743.015,1454.956,0.8841541478140031,0.1158458521859968,1750.17,1447.801,45,10
59,post,2012011500,BAL,HOU,18,2011,POST,http://www.nfl.com/liveupdate/game-center/2012011500/2012011500_gtd.json,20.0,13.0,2012-01-15,2011,0,d,HOU,1649.394,1575.652,0.6896884438683129,0.3103115561316871,1661.534,1563.512,20,13
60,post,2012011501,GB,NYG,18,2011,POST,http://www.nfl.com/liveupdate/game-center/2012011501/2012011501_gtd.json,20.0,37.0,2012-01-15,2011,0,d,NYG,1762.067,1566.4,0.8176520003212487,0.1823479996787512,1708.447,1620.019,20,37
61,post,2012012200,NE,BAL,18,2011,POST,http://www.nfl.com/liveupdate/game-center/2012012200/2012012200_gtd.json,23.0,20.0,2012-01-22,2011,0,c,BAL,1750.17,1661.534,0.7077331597854536,0.2922668402145464,1757.744,1653.96,23,20
62,post,2012012201,SF,NYG,18,2011,POST,http://www.nfl.com/liveupdate/game-center/2012012201/2012012201_gtd.json,17.0,20.0,2012-01-22,2011,0,c,NYG,1648.468,1620.019,0.6313320751297272,0.3686679248702728,1630.187,1638.3,17,20
63,post,2014010400,IND,KC,18,2013,POST,http://www.nfl.com/liveupdate/game-center/2014010400/2014010400_gtd.json,45.0,44.0,2014-01-04,2013,0,w,KC,1568.462,1506.94,0.6744363194111341,0.3255636805888658,1572.73,1502.672,45,44
64,post,2014010401,PHI,NO,18,2013,POST,http://www.nfl.com/liveupdate/game-center/2014010401/2014010401_gtd.json,24.0,26.0,2014-01-04,2013,0,w,NO,1551.032,1609.218,0.5098048771775175,0.4901951228224824,1539.795,1620.454,24,26
65,post,2014010500,CIN,LAC,18,2013,POST,http://www.nfl.com/liveupdate/game-center/2014010500/2014010500_gtd.json,10.0,27.0,2014-01-05,2013,0,w,LAC,1630.728,1556.036,0.6908576170453271,0.3091423829546729,1588.084,1598.681,10,27
